List Number	Author	Author Wikidata ID	Author GND ID	Title	Subtitle	Pages	Publication Date	Date of first performance	Location of first performance	Work Wikidata ID	Work Goodreads ID	Work GND ID	DraCor ID
112	Friedrich Maximilian Klinger	http://www.wikidata.org/entity/Q213549	https://d-nb.info/gnd/118563319	Elfride	Eine Tragödie	147–148	1783						
113	Friedrich Maximilian Klinger	http://www.wikidata.org/entity/Q213549	https://d-nb.info/gnd/118563319	Das leidende Weib	Ein Trauerspiel	149	1775			http://www.wikidata.org/entity/Q95579878	https://www.goodreads.com/work/editions/26768891	https://d-nb.info/gnd/1219177105	https://dracor.org/id/ger000497
114	Friedrich Maximilian Klinger	http://www.wikidata.org/entity/Q213549	https://d-nb.info/gnd/118563319	Die Neue Arria	Ein Schauspiel	150	1776			http://www.wikidata.org/entity/Q56422542	https://www.goodreads.com/work/editions/26768893	https://d-nb.info/gnd/4327535-7	https://dracor.org/id/ger000103
115	Friedrich Maximilian Klinger	http://www.wikidata.org/entity/Q213549	https://d-nb.info/gnd/118563319	Prinz Seiden-Wurm der Reformator oder die Kron-Kompetenten	Ein moralisches Drama aus dem fünften Theil des Orpheus	151–152	1780			http://www.wikidata.org/entity/Q95588022		https://d-nb.info/gnd/1203662807	https://dracor.org/id/ger000498
116	Friedrich Maximilian Klinger	http://www.wikidata.org/entity/Q213549	https://d-nb.info/gnd/118563319	Simsone Grisaldo	Ein Schauspiel in fünf Akten	152–154	1776			http://www.wikidata.org/entity/Q56422563		https://d-nb.info/gnd/4426847-6	https://dracor.org/id/ger000443
117	Friedrich Maximilian Klinger	http://www.wikidata.org/entity/Q213549	https://d-nb.info/gnd/118563319	Stilpo und seine Kinder	Ein Trauerspiel in fünf Akten	154–155	1780	1779-02-23	Mannheim				
118	Friedrich Maximilian Klinger	http://www.wikidata.org/entity/Q213549	https://d-nb.info/gnd/118563319	Sturm und Drang	Ein Schauspiel	155–156	1776	1777-04-01	Leipzig	http://www.wikidata.org/entity/Q1768388	https://www.goodreads.com/work/editions/20316525	https://d-nb.info/gnd/4568296-3	https://dracor.org/id/ger000053
119	Friedrich Maximilian Klinger	http://www.wikidata.org/entity/Q213549	https://d-nb.info/gnd/118563319	Die Zwillinge	Ein Trauerspiel in fünf Aufzügen	157–158	1776	1776-02-23	Hamburg	http://www.wikidata.org/entity/Q1217801	https://www.goodreads.com/work/editions/3753035	https://d-nb.info/gnd/4114230-5	https://dracor.org/id/ger000190
120	Friedrich Gottlieb Klopstock	http://www.wikidata.org/entity/Q154367	https://d-nb.info/gnd/118563386	David	Ein Trauerspiel	159	1772						
121	Friedrich Gottlieb Klopstock	http://www.wikidata.org/entity/Q154367	https://d-nb.info/gnd/118563386	Hermann und die Fürsten	Ein Bardiet für die Schaubühne	160–161	1784						
122	Friedrich Gottlieb Klopstock	http://www.wikidata.org/entity/Q154367	https://d-nb.info/gnd/118563386	Hermanns Schlacht	Ein Bardiet für die Schaubühne	161–162	1769			http://www.wikidata.org/entity/Q56447366		https://d-nb.info/gnd/4533131-5	https://dracor.org/id/ger000345
123	Friedrich Gottlieb Klopstock	http://www.wikidata.org/entity/Q154367	https://d-nb.info/gnd/118563386	Hermanns Tod	Ein Bardiet für die Schaubühne	162–163	1787						
124	Friedrich Gottlieb Klopstock	http://www.wikidata.org/entity/Q154367	https://d-nb.info/gnd/118563386	Salomo	Ein Trauerspiel	164	1764			http://www.wikidata.org/entity/Q19226689			
125	Friedrich Gottlieb Klopstock	http://www.wikidata.org/entity/Q154367	https://d-nb.info/gnd/118563386	Der Tod Adams	Ein Trauerspiel	165	1757	1767-12	Halberstadt	http://www.wikidata.org/entity/Q22809001		https://d-nb.info/gnd/4440560-1	https://dracor.org/id/ger000013
126	Johann Ulrich von König	http://www.wikidata.org/entity/Q1696433	https://d-nb.info/gnd/118777661	Der Dreßdner Frauen Schlendrian in einem Nachspiel verfertiget		166–167	1725	1724	Leipzig				
127	Johann Ulrich von König	http://www.wikidata.org/entity/Q1696433	https://d-nb.info/gnd/118777661	Die verkehrte Welt	Ein Lustspiel von einem Aufzuge	167–168	1725	1724	Leipzig	http://www.wikidata.org/entity/Q55999055		https://d-nb.info/gnd/1042648468	https://dracor.org/id/ger000313
128	August von Kotzebue	http://www.wikidata.org/entity/Q57242	https://d-nb.info/gnd/118565796	Adelheid von Wulfingen	Ein Denkmal der Barbarey des dreyzehnten Jahrhunderts	168–169	1783			http://www.wikidata.org/entity/Q22712287			
129	August von Kotzebue	http://www.wikidata.org/entity/Q57242	https://d-nb.info/gnd/118565796	Bruder Moritz, der Sonderling, oder die Colonie für die Pelew-Inseln	Lustspiel in drey Aufzügen	169–170	1791	1790	Reval				
130	August von Kotzebue	http://www.wikidata.org/entity/Q57242	https://d-nb.info/gnd/118565796	Die Indianer in England	Lustspiel in drey Aufzügen	170–171	1790	1789-04-06	Reval	http://www.wikidata.org/entity/Q22712283		https://d-nb.info/gnd/108040810X	https://dracor.org/id/ger000057
131	August von Kotzebue	http://www.wikidata.org/entity/Q57242	https://d-nb.info/gnd/118565796	La Peyrouse	Ein Schauspiel in zwei Akten	171–172	1798	1796-06-09	Berlin				
132	August von Kotzebue	http://www.wikidata.org/entity/Q57242	https://d-nb.info/gnd/118565796	Menschenhass und Reue	Schauspiel in fünf Aufzügen	173–174	1790	1788-12-04	Reval	http://www.wikidata.org/entity/Q1920777		https://d-nb.info/gnd/1200582152	https://dracor.org/id/ger000142
133	Benjamin Ephraim Krüger	http://www.wikidata.org/entity/Q94790385	https://d-nb.info/gnd/136546617	Mahomed der IV	Ein Trauerspiel	174–175	1744	1747	Hamburg				
134	Benjamin Ephraim Krüger	http://www.wikidata.org/entity/Q94790385	https://d-nb.info/gnd/136546617	Vitichab und Dankwart, die Allemannischen Brüder	Ein Trauerspiel	175–176	1746	1746					
135	Johann Christian Krüger	http://www.wikidata.org/entity/Q109643	https://d-nb.info/gnd/118778080	Der blinde Ehemann	Ein Lustspiel von drey Aufzügen	177–178	1751	1747-07-08	Hamburg				
136	Johann Christian Krüger	http://www.wikidata.org/entity/Q109643	https://d-nb.info/gnd/118778080	Die Candidaten, oder: Die Mittel zu einem Amte zu gelangen	Ein Lustspiel in fünf Handlungen	178–179	1748	1748-02-08	Braunschweig	http://www.wikidata.org/entity/Q56448539			https://dracor.org/id/ger000320
137	Johann Christian Krüger	http://www.wikidata.org/entity/Q109643	https://d-nb.info/gnd/118778080	Die Geistlichen auf dem Lande	Ein Lustspiel in drey Handlungen	180–181	1743			http://www.wikidata.org/entity/Q56448672			https://dracor.org/id/ger000173
